year_month,usd_lkr_rate
2018-01,153.7452380952381
2018-02,154.7736842105263
2018-03,155.63863636363638
2018-04,156.18571428571428
2018-05,157.75272727272727
2018-06,158.96190476190475
2018-07,159.3547619047619
2018-08,160.3217391304348
2018-09,165.22368421052633
2018-10,171.36136363636362
2018-11,176.72750000000002
2018-12,180.07944444444445
2019-01,181.60250000000002
2019-02,178.39444444444445
2019-03,178.0952380952381
2019-04,174.64318181818183
2019-05,176.14999999999998
2019-06,176.4635
2019-07,175.8831818181818
2019-08,177.93863636363636
2019-09,180.7975
2019-10,181.31545454545454
2019-11,180.31105263157895
2019-12,181.19761904761904
2020-01,181.32190476190476
2020-02,181.50157894736842
2020-03,184.40954545454545
2020-04,191.35363636363635
2020-05,187.5425
2020-06,185.87045454545455
2020-07,185.73772727272728
2020-08,184.85285714285715
2020-09,184.95190476190476
2020-10,184.37666666666667
2020-11,184.80944444444444
2020-12,186.63285714285715
2021-01,190.76277777777779
2021-02,194.29473684210527
2021-03,196.8808695652174
2021-04,196.66590909090908
2021-05,196.777
2021-06,197.85954545454544
2021-07,198.87999999999997
2021-08,199.12681818181818
2021-09,199.20333333333335
2021-10,200.083
2021-11,201.214
2021-12,201.95333333333335
2022-01,201.842
2022-02,202.0063157894737
2022-03,252.63826086956524
2022-04,320.32666666666665
2022-05,356.2947619047619
2022-06,356.6190476190476
2022-07,357.134
2022-08,356.4891304347826
2022-09,358.92285714285714
2022-10,361.89250000000004
2022-11,362.6885
2022-12,363.18619047619046
2023-01,363.945
2023-02,362.6510526315789
2023-03,327.44173913043477
2023-04,319.24899999999997
2023-05,309.42
2023-06,301.6280952380952
2023-07,319.0375
2023-08,320.4726086956522
2023-09,322.45349999999996
2023-10,324.8257142857143
2023-11,327.8855
2023-12,326.211
2024-01,320.32
2024-02,311.86199999999997
2024-03,304.8285714285714
2024-04,298.96772727272725
2024-05,299.5772727272727
2024-06,303.88894736842104
2024-07,303.23727272727274
2024-08,300.2304545454545
2024-09,300.88649999999996
2024-10,293.2763636363636
2024-11,291.78263157894736
2024-12,291.5842857142857
2025-01,296.09666666666664
2025-02,296.57842105263154
2025-03,295.8509523809524
2025-04,298.4290909090909
2025-05,299.2490476190476
2025-06,299.707
2025-07,301.08363636363634
2025-08,301.312380952381
2025-09,302.0904761904762
2025-10,303.06363636363636
2025-11,306.1411111111111
2025-12,309.1045454545455
2026-01,309.4585
2026-02,309.2936842105263
2026-03,311.7786363636364
2026-04,316.2377272727272
2026-05,325.66999999999996
2026-06,334.1014285714286
2026-07,335.74454545454546
2026-08,332.15700000000004
